CPF_FUNCIONARIO,ID_EVENTO
79476725633,1313
74044863199,1313
15389392155,1394
51184650955,1394
32884915677,885
39885147488,885
61096320822,885
30161943099,514
30909465644,204
88533380244,1686
48222521677,1241
59057670922,1397
27183392411,1397
59669067777,1044
45714423199,1044
22478414577,1544
30433259822,1722
52233539355,1722
93498008100,699
56442658388,699
41716803366,699
17247912733,1493
50679081300,2210
91832774555,2210
60535791066,1979
56409652900,1979
30547042544,1603
20763955988,1603
27065601777,1603
76243569966,1179
32354129644,1179
97744229299,932
63109192700,932
57172127044,932
31409851855,502
70689375277,502
26153139244,502
15395259611,1211
11600192400,1852
82143015566,1852
32149779700,324
40263166100,324
75589105877,324
15464810877,1161
51701008333,1161
55678006900,1161
32644575477,1850
62718736188,1850
37510975622,1850
80006795822,1704
72670168200,1704
78854618311,1704
33129221944,1189
61519253000,1189
99837910211,1867
73359897011,1867
44316742333,1867
15883145700,428
24346577455,1697
73483704466,2240
96516875766,580
57434071699,580
77766053600,580
95352393500,74
52538092799,160
12192528599,160
23949185866,160
32981794699,702
19422839466,702
70786402688,702
96884224444,1064
71219302000,1064
95789072499,1064
12252808266,962
17373245399,530
13599999144,530
76485594800,530
97019043700,881
76325035799,881
76571013777,1354
77541001344,1354
95160223833,1461
74773897044,1663
73850921877,1663
72404817511,1663
23564606244,2150
13426210933,236
24872543433,236
18529209633,236
56666469155,637
50722445711,637
73123774088,143
81510445199,143
61681574255,1162
46164893000,1162
32684593822,1162
51161752199,1901
63021530777,1901
35354099699,1886
58102917088,1886
67187174799,1886
88307144533,1779
56428646888,1779
50950832211,666
70818699800,666
82052155533,666
11411321844,1604
36985440911,1604
93277868311,1604
51359050811,654
73464630055,2215
82231154411,2215
68241142511,2045
80218694022,27
60681001033,1216
32956193522,1216
22803859100,1216
70071747522,39
24666865388,39
46590686500,39
31830506766,141
28530021955,1664
26434906144,2137
32354129644,1911
12936217222,1911
83479691755,1911
86464031733,661
87688482344,661
69130478199,661
16821597444,674
78854618311,674
34578709933,674
23949185866,1900
24284825300,1844
95572261700,333
48651827488,333
32081674233,333
13118072688,303
17560585122,1995
89551730400,1995
90871416888,1995
17247912733,1912
35467496344,1912
42527587000,1912
90176454900,1803
48291295655,1803
79220622222,1803
88307144533,795
60373401700,795
74355908277,125
32114965566,125
74505158733,2060
19307842955,2060
44030865433,1036
16658155400,1036
68690530900,992
12340680444,992
43636403677,621
32940465377,621
94481365955,1778
90206763933,1778
95847038899,1778
62774127600,1522
25155526099,1522
48222521677,1145
52838119722,1145
75112008500,1145
39781895933,298
33727307399,298
61844668444,2183
84374594600,1568
30260083899,1568
34599930499,2209
43636403677,2209
48284152200,2006
53677793600,2006
65474781733,1622
13010411144,1622
34339278555,1622
36291937577,1725
33372989400,1725
45222223277,1725
67781408600,2226
68435340233,352
45502780055,352
84949931511,352
28763877944,1542
89709390677,2014
16433763499,2112
34665979788,2112
47242671600,1889
47110185300,1889
32425591422,325
64624820288,325
90379627699,325
29834332777,1065
32581457255,1065
90405261500,1065
87356504355,1267
70680502633,1267
95160223833,1267
50929683700,1973
46911396300,1628
32956193522,1628
42795272022,1628
42011570166,294
61500536444,294
10471477188,294
86783619566,1556
52695870766,243
73850921877,243
32294538166,961
59295165966,961
79476725633,1257
13534836300,1257
86444102888,960
18894126600,1988
37853330488,16
80860568300,1766
40075874266,1766
59685293188,943
39194598222,943
13534836300,1476
90206763933,1476
21401665822,1476
73006295477,855
37594889511,1094
45307308400,1094
39973511800,1094
22745391700,1596
40000873044,1596
74149109388,910
49010850933,185
17295099166,1273
65981767866,1885
33699405233,1885
67824401133,2146
92532663255,2146
74018026199,2146
10471539399,1646
91781057066,1646
52829756533,1646
50034786311,535
87116714755,535
59796473844,535
18677213411,1853
89371512788,1853
57227042966,1853
96884224444,903
22355822499,1639
70582321800,1284
92532663255,803
23564606244,803
38372734233,1137
17560585122,1137
24888060055,350
87910116477,350
39885147488,350
60123926211,1761
33509276966,2192
93194215799,1428
71520516588,76
27074842611,154
38981318666,154
97936799566,1578
68454867944,990
63071742855,990
38695956633,990
83715594100,927
37316453000,927
47028166244,927
84263807277,1005
39603912422,2002
44930704044,1127
17708613866,1127
86939734877,148
31783871966,1896
74077526800,854
72540336599,854
73633405600,182
54273699700,182
34905446766,182
86974153655,882
26996234400,344
90128705266,1072
60934661244,292
64005676233,292
39966102622,1786
69698241366,1786
51359050811,2195
72206176666,2195
53677793600,2195
46824558855,329
49584346744,329
48710274655,966
40081877311,966
61500536444,966
74209529300,1336
94182419600,1336
87171031855,1336
51289771455,737
91511164211,737
42398310400,2061
31409851855,2061
37956200233,554
53694096844,664
73402515022,184
50903278588,184
24303545355,1003
63071742855,796
10014309566,796
95019431199,1951
28257258466,1951
20763955988,526
98816176344,526
37047704188,526
53030346822,683
63793710955,230
93831814355,230
26165490266,230
84761502888,215
49986192177,215
79689462555,993
97343546399,993
54273699700,993
14985397855,1611
71388663566,1611
61500536444,1611
42796192633,2166
41976406844,1730
92635131711,1987
30173475599,1987
15115515699,1987
78900704388,2032
73390390666,2032
13823982988,2032
90306391800,106
97583651344,106
12232196311,106
38372734233,1717
30260083899,1717
86963813866,978
74375838366,978
22411765911,978
41371912477,2179
93057830666,2179
63222694966,778
32010737255,778
71205277622,778
11143165988,836
30018242477,1982
73390390666,1982
15170059577,1982
13574841277,363
84211611300,619
59441110200,619
96755172800,245
56760562588,245
93831814355,245
37879947855,2041
37517344733,1224
17942186377,1224
61127982633,1491
35329054699,1491
24192806444,1491
60473270799,1171
49860603099,1629
90405261500,1629
43082297077,1629
47858480811,1822
99945435399,1822
17049221511,1822
86816090177,1571
94251711066,1571
71123647877,387
26996399077,1449
79836058700,1081
49475982555,1081
93682084255,1130
61500536444,1130
49986192177,1130
15527724033,1226
35185650288,1226
16454850644,2071
31254237833,2071
27318281455,299
71233822344,299
72541953655,299
56984436022,1169
52979202800,1169
66762340177,1169
77197057777,1172
32550705977,1172
86963813866,1441
42672174088,1441
44476372000,1441
52860579699,1055
86974153655,1055
62200293211,2106
81857164122,567
28342656588,1009
74086737333,1009
19195876400,1009
12575287933,156
68454867944,156
96362505966,156
45714423199,1714
68845177511,1295
49000284799,733
54094830222,733
90195837355,733
97936799566,1212
29699403700,929
49452890000,929
22033863200,2164
37665167877,620
69073830122,620
72206176666,1736
37956200233,1736
69138166266,1510
45278707000,1510
60151214322,1510
73492749800,189
52233539355,189
37109163999,189
97441479111,1105
13638913755,1105
81310667899,646
76302623100,1917
46824558855,1917
73739170622,1917
38970056622,434
66462738711,434
30173475599,434
25492904022,1209
64088714022,1209
95868677811,1209
87982686199,1153
52695870766,1153
32659617700,1153
63606221066,41
58960427877,187
93329619211,187
92577334166,187
85015218333,1038
51112424900,785
60681001033,571
95451098900,571
32943575599,1107
77668910266,1468
86086027500,1468
56666469155,1326
93405310000,1326
76718826077,1326
11909360466,494
37316453000,494
28811258244,494
10014309566,2064
79927220788,775
93194215799,775
90007306788,1699
18896151022,1699
47858480811,1235
99184158511,1235
96820100633,1958
65619380388,1958
98691273711,1854
87235017900,1854
44238434633,1069
13914924988,1069
52852985044,1069
37364923599,1883
98691273711,1413
42527461088,1413
58053586200,1413
77434020966,652
26527675777,652
45322658433,652
10905820055,710
89709390677,710
62659669799,710
12022886500,1022
67264384944,1022
88714523133,1737
26434906144,1737
23783864433,1737
31783871966,1650
30433259822,1650
55808805611,1650
51382440511,490
10418996299,490
39966102622,979
16624050300,1188
66441115488,1188
18116469722,588
90961513800,238
87791081644,238
65631759611,577
89923435822,577
30173475599,1862
11086203299,935
76279321222,935
11583585988,420
90871416888,420
75115819600,888
88803936000,888
46678910922,888
16146350566,166
36417370522,1713
16117550777,1960
21036682866,1960
39786914777,1960
11411321844,2108
23077602377,2108
56745941122,2247
51359050811,1644
63127426955,751
53153969677,1010
53232594855,1010
15170059577,1010
54701195999,265
84131803844,265
37510975622,896
12216879644,1479
47274108500,1479
20083392899,1244
86266854599,1244
38301513900,1244
11270065255,902
28342656588,902
93832442755,902
35767000999,85
85998140877,1321
74303098288,658
25485235866,658
47863879911,1420
32684593822,1420
68149816455,498
43521893244,2213
50121224611,1381
25867573433,1381
29255761844,1381
20784998111,767
19805748399,767
95746921088,767
98587371144,2167
78602763644,2167
10014309566,1968
12661022644,1968
18084750899,1968
59409192866,146
27720013000,1103
73775752988,1103
22719463955,1103
72347984555,1289
44030865433,1289
24283244700,130
47845571133,843
51359050811,843
89999777222,1485
55721272999,1485
62488501944,1485
38585560688,636
89080634122,636
23564606244,636
64190704655,1796
18373324955,358
87163230688,358
43636403677,358
24297147877,842
59895469044,1965
29232358199,1965
45222223277,1965
22033863200,1608
67142029466,1608
91511164211,1608
96884224444,541
20083392899,945
35967935300,945
74086737333,201
10546299000,201
35920525199,201
37371928988,50
49138946411,1919
60762604599,1919
70775131900,1919
69616679611,2031
34375499955,2031
24032060755,2031
79149960922,398
56428646888,1978
65529041422,1978
94957192911,1357
18084750899,1357
67292113188,1357
76243569966,821
63133067599,625
74077526800,625
60648091755,625
98587371144,173
69911501855,173
72743084911,173
68577268411,754
82238161300,754
98142988677,754
73305976000,42
46561077433,1652
44238434633,454
32892941966,454
67878984366,693
99501180266,2028
84131803844,2028
46222205711,2028
42983275311,1152
98587371144,1152
43993022833,924
57613483300,924
27918408188,396
36953752800,396
66325348999,396
60757575899,955
97136568300,1748
61449208033,1748
43491582866,1748
73741583000,1057
62258759644,1088
10533394700,1088
21183876799,1088
28811258244,1788
56674524055,1788
83463585399,1776
81690422088,1776
99488441144,1776
56695389866,721
25619144299,1222
68235283700,1222
46680633477,391
27790105333,1255
85435013188,1255
55808805611,1255
24032060755,542
71795990422,1487
82440937733,1487
90405261500,1487
29232358199,891
86939734877,700
19875891811,700
91806816544,700
25867573433,1067
23575313555,1067
42527587000,1126
30952562211,1126
39973511800,1053
98691273711,1053
12936217222,1053
35317656711,1018
49452890000,17
44316742333,17
32919368844,1602
48688514388,1602
98587371144,1602
59304370844,2063
23872149511,2063
96218078677,455
13338513322,455
31058466899,455
47242671600,2138
21502374400,2138
57101376344,2138
85202273688,316
70890584177,1738
51359050811,1738
11397393600,640
35467496344,774
97425199600,774
99184158511,95
76202552066,1905
18894126600,1905
30805248700,1905
35920525199,1503
78978874488,1503
13118072688,5
72206176666,1685
18896151022,1685
41242358955,1685
34905446766,523
19539715711,523
28045509822,523
74574066977,305
85882981711,2125
26996399077,2125
42527587000,1708
85195237811,718
88150777588,718
73850921877,629
56674524055,629
42398310400,629
48126320300,1599
69484681522,1599
79927220788,1037
10234156155,1037
76571013777,2007
34053952088,2007
74491312933,847
79682981566,2113
96218078677,906
22745391700,906
96578878288,925
98142988677,956
95746921088,1569
79149960922,1569
82113129999,1576
85435013188,1576
15755649555,1576
83114554066,703
12451434500,703
24284825300,703
79220622222,1827
50560895911,1827
63222694966,1827
29035138488,723
80561332088,723
37511944600,723
40081877311,151
23495486866,1671
57686246944,1656
41707695033,1656
13259859611,1656
86396948000,208
89176778433,826
56369211955,826
27763808011,826
16624050300,1299
26434906144,1299
29580364133,1332
23763554866,1332
90195837355,1332
84373490444,1279
44030865433,1279
24872543433,1279
94297685222,2074
37853330488,1800
10713187055,1470
44276322700,1470
60012587677,1470
46681107288,598
93962263511,598
98691273711,598
59139363100,432
58029644055,432
88476250255,432
82695227244,2144
13154036255,2144
64475439500,1481
81410253255,584
30153912166,584
48126320300,584
63606221066,2218
